State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Haryana,Karnal,Gharaunda,Onion,Other,FAQ,06/07/2024,3000,3200,3200,23
Haryana,Karnal,Gharaunda,Onion,Other,FAQ,01/07/2024,3000,3300,3300,23
Haryana,Karnal,Gharaunda,Onion,Other,FAQ,02/07/2024,3000,3000,3000,23
Haryana,Karnal,Gharaunda,Onion,Other,FAQ,05/07/2024,3000,3200,3200,23
Haryana,Karnal,Gharaunda,Onion,Other,FAQ,08/07/2024,2500,3200,3200,23
Haryana,Karnal,Gharaunda,Onion,Other,FAQ,01/08/2024,3000,3500,3500,23
Haryana,Karnal,Gharaunda,Onion,Other,FAQ,02/08/2024,3500,3500,3500,23
Haryana,Karnal,Gharaunda,Onion,Other,FAQ,30/08/2024,4000,4200,4200,23
Haryana,Karnal,Gharaunda,Onion,Other,FAQ,22/08/2024,3000,3500,3500,23
Haryana,Karnal,Gharaunda,Onion,Other,FAQ,28/08/2024,4000,4000,4000,23
Haryana,Karnal,Gharaunda,Onion,Other,FAQ,01/06/2024,1500,1800,1800,23
Haryana,Karnal,Gharaunda,Onion,Other,FAQ,03/06/2024,1500,2000,2000,23
Haryana,Karnal,Gharaunda,Onion,Other,FAQ,05/06/2024,1500,1600,1600,23
Haryana,Karnal,Gharaunda,Onion,Other,FAQ,24/06/2024,2800,3200,3200,23
Haryana,Karnal,Gharaunda,Onion,Other,FAQ,27/06/2024,2600,3000,3000,23
Haryana,Karnal,Gharaunda,Onion,Other,FAQ,28/06/2024,2000,3200,3200,23
Haryana,Karnal,Gharaunda,Onion,Other,FAQ,17/05/2024,1500,2000,2000,23
Haryana,Karnal,Gharaunda,Onion,Other,FAQ,20/05/2024,1500,2000,2000,23
Haryana,Karnal,Gharaunda,Onion,Other,FAQ,01/05/2024,1500,2000,2000,23
Haryana,Karnal,Gharaunda,Onion,Other,FAQ,03/05/2024,1500,1800,1800,23
Haryana,Karnal,Gharaunda,Onion,Other,FAQ,10/05/2024,1800,2000,2000,23
Haryana,Karnal,Gharaunda,Onion,Other,FAQ,23/05/2024,1500,1800,1800,23
Haryana,Karnal,Gharaunda,Onion,Other,FAQ,02/01/2024,2000,2000,2000,23
