State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Haryana,Karnal,Gharaunda,Tomato,Other,FAQ,04/07/2024,2000,4400,4400,78
Haryana,Karnal,Gharaunda,Tomato,Other,FAQ,09/07/2024,2000,4500,4500,78
Haryana,Karnal,Gharaunda,Tomato,Other,FAQ,17/07/2024,4000,5000,5000,78
Haryana,Karnal,Gharaunda,Tomato,Other,FAQ,23/07/2024,4000,4000,4000,78
Haryana,Karnal,Gharaunda,Tomato,Other,FAQ,06/08/2024,3000,3600,3600,78
Haryana,Karnal,Gharaunda,Tomato,Other,FAQ,10/08/2024,3000,3500,3500,78
Haryana,Karnal,Gharaunda,Tomato,Other,FAQ,15/08/2024,3000,3200,3200,78
Haryana,Karnal,Gharaunda,Tomato,Other,FAQ,19/08/2024,3000,3500,3500,78
Haryana,Karnal,Gharaunda,Tomato,Other,FAQ,20/08/2024,3000,3500,3500,78
Haryana,Karnal,Gharaunda,Tomato,Other,FAQ,22/08/2024,3000,3500,3500,78
Haryana,Karnal,Gharaunda,Tomato,Other,FAQ,01/06/2024,400,1000,1000,78
Haryana,Karnal,Gharaunda,Tomato,Other,FAQ,05/06/2024,500,1000,1000,78
Haryana,Karnal,Gharaunda,Tomato,Other,FAQ,10/06/2024,600,1500,1500,78
Haryana,Karnal,Gharaunda,Tomato,Other,FAQ,11/06/2024,600,1200,1200,78
Haryana,Karnal,Gharaunda,Tomato,Other,FAQ,19/06/2024,1000,2000,2000,78
Haryana,Karnal,Gharaunda,Tomato,Other,FAQ,21/06/2024,1000,2000,2000,78
Haryana,Karnal,Gharaunda,Tomato,Other,FAQ,29/06/2024,2000,2500,2500,78
Haryana,Karnal,Gharaunda,Tomato,Other,FAQ,03/01/2024,1000,1200,1200,78
Haryana,Karnal,Gharaunda,Tomato,Other,FAQ,09/02/2024,700,1500,1500,78
Haryana,Karnal,Gharaunda,Tomato,Other,FAQ,07/03/2024,1200,2400,2400,78
Haryana,Karnal,Gharaunda,Tomato,Other,FAQ,01/04/2024,1300,2200,2200,78
Haryana,Karnal,Gharaunda,Tomato,Other,FAQ,04/04/2024,1000,2000,2000,78
Haryana,Karnal,Gharaunda,Tomato,Other,FAQ,15/04/2024,1000,2200,2200,78
Haryana,Karnal,Gharaunda,Tomato,Other,FAQ,11/03/2024,1600,2400,2400,78
Haryana,Karnal,Gharaunda,Tomato,Other,FAQ,14/03/2024,2000,2500,2500,78
Haryana,Karnal,Gharaunda,Tomato,Other,FAQ,19/03/2024,2000,2600,2600,78
Haryana,Karnal,Gharaunda,Tomato,Other,FAQ,02/04/2024,900,2200,2200,78
Haryana,Karnal,Gharaunda,Tomato,Other,FAQ,19/04/2024,1500,2200,2200,78
Haryana,Karnal,Gharaunda,Tomato,Other,FAQ,01/01/2024,800,1200,1200,78
Haryana,Karnal,Gharaunda,Tomato,Other,FAQ,16/01/2024,1200,1500,1500,78
Haryana,Karnal,Gharaunda,Tomato,Other,FAQ,17/01/2024,1000,1200,1200,78
Haryana,Karnal,Gharaunda,Tomato,Other,FAQ,18/01/2024,1000,1200,1200,78
Haryana,Karnal,Gharaunda,Tomato,Other,FAQ,19/01/2024,1000,1800,1800,78
Haryana,Karnal,Gharaunda,Tomato,Other,FAQ,24/01/2024,1500,2000,2000,78
Haryana,Karnal,Gharaunda,Tomato,Other,FAQ,31/01/2024,1500,2000,2000,78
Haryana,Karnal,Gharaunda,Tomato,Other,FAQ,03/02/2024,1200,2200,2200,78
Haryana,Karnal,Gharaunda,Tomato,Other,FAQ,21/02/2024,1000,1500,1500,78
Haryana,Karnal,Gharaunda,Tomato,Other,FAQ,08/03/2024,1200,2400,2400,78
Haryana,Karnal,Gharaunda,Tomato,Other,FAQ,22/03/2024,1500,2400,2400,78
Haryana,Karnal,Gharaunda,Tomato,Other,FAQ,09/04/2024,800,2000,2000,78
Haryana,Karnal,Gharaunda,Tomato,Other,FAQ,12/04/2024,1200,2000,2000,78
