State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Haryana,Karnal,Asandh,Wheat,Other,FAQ,27/04/2025,2425,2425,2425,1
Haryana,Karnal,Asandh,Wheat,Other,FAQ,28/04/2025,2425,2426,2425,1
Haryana,Karnal,Asandh,Wheat,Other,FAQ,12/05/2025,2425,2425,2425,1
Haryana,Karnal,Asandh,Wheat,Other,FAQ,19/04/2025,2425,2426,2425,1
Haryana,Karnal,Asandh,Wheat,Other,FAQ,23/04/2025,2425,2426,2425,1
Haryana,Karnal,Asandh,Wheat,Other,FAQ,08/04/2025,2425,2425,2425,1
Haryana,Karnal,Asandh,Wheat,Other,FAQ,25/04/2025,2425,2425,2425,1
Haryana,Karnal,Asandh,Wheat,Other,FAQ,20/04/2025,2425,2425,2425,1
Haryana,Karnal,Asandh,Wheat,Other,FAQ,24/04/2025,2425,2426,2425,1
Haryana,Karnal,Asandh,Wheat,Other,FAQ,30/04/2025,2425,2425,2425,1
Haryana,Karnal,Asandh,Wheat,Other,FAQ,01/05/2025,2425,2425,2425,1
Haryana,Karnal,Asandh,Wheat,Other,FAQ,08/05/2025,2425,2426,2425,1
Haryana,Karnal,Asandh,Wheat,Other,FAQ,15/05/2025,2425,2425,2425,1
Haryana,Karnal,Asandh,Wheat,Other,FAQ,17/04/2025,2425,2425,2425,1
Haryana,Karnal,Asandh,Wheat,Other,FAQ,18/04/2025,2425,2425,2425,1
Haryana,Karnal,Asandh,Wheat,Other,FAQ,21/04/2025,2425,2426,2425,1
Haryana,Karnal,Asandh,Wheat,Other,FAQ,26/04/2025,2425,2426,2425,1
Haryana,Karnal,Asandh,Wheat,Other,FAQ,29/04/2025,2425,2426,2425,1
Haryana,Karnal,Gharaunda,Wheat,Wheat,FAQ,05/04/2025,2426,2426,2426,1
Haryana,Karnal,Gharaunda,Wheat,Wheat,FAQ,13/04/2025,2425,2430,2425,1
Haryana,Karnal,Gharaunda,Wheat,Wheat,FAQ,17/04/2025,2425,2430,2425,1
Haryana,Karnal,Gharaunda,Wheat,Wheat,FAQ,19/04/2025,2425,2430,2425,1
Haryana,Karnal,Gharaunda,Wheat,Wheat,FAQ,25/04/2025,2425,2430,2425,1
Haryana,Karnal,Gharaunda,Wheat,Wheat,FAQ,30/04/2025,2425,2430,2425,1
Haryana,Karnal,Gharaunda,Wheat,Wheat,FAQ,12/05/2025,2430,2440,2430,1
Haryana,Karnal,Gharaunda,Wheat,Wheat,FAQ,13/05/2025,2425,2440,2425,1
Haryana,Karnal,Gharaunda,Wheat,Wheat,FAQ,21/04/2025,2425,2430,2425,1
Haryana,Karnal,Gharaunda,Wheat,Wheat,FAQ,12/04/2025,2425,2430,2425,1
Haryana,Karnal,Gharaunda,Wheat,Wheat,FAQ,04/04/2025,2428,2430,2430,1
Haryana,Karnal,Gharaunda,Wheat,Wheat,FAQ,08/04/2025,2425,2425,2425,1
Haryana,Karnal,Gharaunda,Wheat,Wheat,FAQ,09/04/2025,2425,2425,2425,1
Haryana,Karnal,Gharaunda,Wheat,Wheat,FAQ,20/04/2025,2425,2430,2425,1
Haryana,Karnal,Gharaunda,Wheat,Wheat,FAQ,22/04/2025,2425,2430,2425,1
Haryana,Karnal,Gharaunda,Wheat,Wheat,FAQ,06/05/2025,2430,2430,2430,1
Haryana,Karnal,Gharaunda,Wheat,Wheat,FAQ,10/04/2025,2425,2430,2425,1
Haryana,Karnal,Gharaunda,Wheat,Wheat,FAQ,18/04/2025,2425,2430,2425,1
Haryana,Karnal,Gharaunda,Wheat,Wheat,FAQ,23/04/2025,2425,2430,2425,1
Haryana,Karnal,Gharaunda,Wheat,Wheat,FAQ,29/04/2025,2430,2430,2430,1
Haryana,Karnal,Gharaunda,Wheat,Wheat,FAQ,05/05/2025,2425,2430,2425,1
Haryana,Karnal,Gharaunda,Wheat,Wheat,FAQ,07/05/2025,2426,2430,2430,1
Haryana,Karnal,Gharaunda,Wheat,Wheat,FAQ,01/05/2025,2430,2430,2430,1
Haryana,Karnal,Gharaunda,Wheat,Wheat,FAQ,11/04/2025,2425,2430,2425,1
Haryana,Karnal,Gharaunda,Wheat,Wheat,FAQ,14/04/2025,2425,2430,2425,1
Haryana,Karnal,Gharaunda,Wheat,Wheat,FAQ,16/04/2025,2425,2430,2425,1
Haryana,Karnal,Gharaunda,Wheat,Wheat,FAQ,24/04/2025,2425,2430,2425,1
Haryana,Karnal,Gharaunda,Wheat,Wheat,FAQ,26/04/2025,2425,2430,2425,1
Haryana,Karnal,Gharaunda,Wheat,Wheat,FAQ,28/04/2025,2425,2430,2425,1
Haryana,Karnal,Indri,Wheat,Wheat,FAQ,16/04/2025,2425,2425,2425,1
Haryana,Karnal,Indri,Wheat,Wheat,FAQ,12/05/2025,2425,2425,2425,1
Haryana,Karnal,Indri,Wheat,Wheat,FAQ,17/04/2025,2425,2425,2425,1
Haryana,Karnal,Indri,Wheat,Wheat,FAQ,19/04/2025,2425,2425,2425,1
Haryana,Karnal,Indri,Wheat,Wheat,FAQ,26/04/2025,2425,2430,2425,1
Haryana,Karnal,Indri,Wheat,Wheat,FAQ,18/04/2025,2425,2425,2425,1
Haryana,Karnal,Indri,Wheat,Wheat,FAQ,11/04/2025,2425,2425,2425,1
Haryana,Karnal,Indri,Wheat,Wheat,FAQ,14/04/2025,2425,2425,2425,1
Haryana,Karnal,Indri,Wheat,Wheat,FAQ,22/04/2025,2425,2430,2425,1
Haryana,Karnal,Indri,Wheat,Wheat,FAQ,25/04/2025,2425,2425,2425,1
Haryana,Karnal,Indri,Wheat,Wheat,FAQ,01/05/2025,2425,2430,2425,1
Haryana,Karnal,Indri,Wheat,Wheat,FAQ,02/05/2025,2425,2425,2425,1
Haryana,Karnal,Indri,Wheat,Wheat,FAQ,09/05/2025,2430,2430,2430,1
Haryana,Karnal,Indri,Wheat,Wheat,FAQ,21/04/2025,2425,2425,2425,1
Haryana,Karnal,Indri,Wheat,Wheat,FAQ,12/04/2025,2425,2425,2425,1
Haryana,Karnal,Indri,Wheat,Wheat,FAQ,15/04/2025,2425,2425,2425,1
Haryana,Karnal,Indri,Wheat,Wheat,FAQ,24/04/2025,2425,2430,2425,1
Haryana,Karnal,Jundla,Wheat,Other,FAQ,16/04/2023,2125,2125,2125,1
Haryana,Karnal,Jundla,Wheat,Other,FAQ,20/04/2023,2125,2125,2125,1
Haryana,Karnal,Jundla,Wheat,Other,FAQ,01/05/2023,2125,2125,2125,1
Haryana,Karnal,Jundla,Wheat,Other,FAQ,02/05/2023,2125,2125,2125,1
Haryana,Karnal,Jundla,Wheat,Other,FAQ,11/04/2025,2425,2425,2425,1
Haryana,Karnal,Jundla,Wheat,Other,FAQ,16/04/2025,2425,2425,2425,1
Haryana,Karnal,Jundla,Wheat,Other,FAQ,20/04/2025,2425,2426,2425,1
Haryana,Karnal,Jundla,Wheat,Other,FAQ,08/04/2024,2275,2275,2275,1
Haryana,Karnal,Jundla,Wheat,Other,FAQ,09/04/2025,2425,2425,2425,1
Haryana,Karnal,Jundla,Wheat,Other,FAQ,30/04/2025,2425,2425,2425,1
Haryana,Karnal,Jundla,Wheat,Other,FAQ,28/04/2025,2425,2425,2425,1
Haryana,Karnal,Jundla,Wheat,Other,FAQ,18/04/2023,2125,2125,2125,1
Haryana,Karnal,Jundla,Wheat,Other,FAQ,28/04/2023,2125,2125,2125,1
Haryana,Karnal,Jundla,Wheat,Other,FAQ,01/05/2025,2425,2425,2425,1
Haryana,Karnal,Jundla,Wheat,Other,FAQ,10/04/2025,2425,2425,2425,1
Haryana,Karnal,Jundla,Wheat,Other,FAQ,12/04/2025,2425,2425,2425,1
Haryana,Karnal,Jundla,Wheat,Other,FAQ,13/04/2025,2425,2425,2425,1
Haryana,Karnal,Jundla,Wheat,Other,FAQ,14/04/2025,2425,2425,2425,1
Haryana,Karnal,Jundla,Wheat,Other,FAQ,15/04/2025,2425,2425,2425,1
Haryana,Karnal,Jundla,Wheat,Other,FAQ,18/04/2025,2425,2425,2425,1
Haryana,Karnal,Jundla,Wheat,Other,FAQ,02/05/2025,2425,2425,2425,1
Haryana,Karnal,Jundla,Wheat,Other,FAQ,25/04/2023,2125,2137,2125,1
Haryana,Karnal,Jundla,Wheat,Other,FAQ,09/04/2024,2275,2275,2275,1
Haryana,Karnal,Jundla,Wheat,Other,FAQ,19/04/2023,2125,2125,2125,1
Haryana,Karnal,Jundla,Wheat,Other,FAQ,22/04/2023,2125,2125,2125,1
Haryana,Karnal,Jundla,Wheat,Other,FAQ,23/04/2023,2125,2125,2125,1
Haryana,Karnal,Jundla,Wheat,Other,FAQ,26/04/2023,2125,2125,2125,1
Haryana,Karnal,Jundla,Wheat,Other,FAQ,27/04/2023,2125,2125,2125,1
Haryana,Karnal,Jundla,Wheat,Other,FAQ,30/04/2023,2125,2125,2125,1
Haryana,Karnal,Jundla,Wheat,Other,FAQ,17/04/2025,2425,2425,2425,1
