State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Maharashtra,Mumbai,Vashi New Mumbai,Onion,Other,FAQ,04/07/2024,2500,3100,2800,23
Maharashtra,Mumbai,Vashi New Mumbai,Onion,Other,FAQ,06/07/2024,2400,3100,2750,23
Maharashtra,Mumbai,Vashi New Mumbai,Onion,Other,FAQ,09/07/2024,2400,3100,2750,23
Maharashtra,Mumbai,Vashi New Mumbai,Onion,Other,FAQ,12/07/2024,2400,3100,2750,23
Maharashtra,Mumbai,Vashi New Mumbai,Onion,Other,FAQ,13/07/2024,2400,3000,2700,23
Maharashtra,Mumbai,Vashi New Mumbai,Onion,Other,FAQ,13/08/2024,2900,3500,3200,23
Maharashtra,Mumbai,Vashi New Mumbai,Onion,Other,FAQ,17/08/2024,2800,3500,3150,23
Maharashtra,Mumbai,Vashi New Mumbai,Onion,Other,FAQ,26/08/2024,3300,3900,3600,23
Maharashtra,Mumbai,Vashi New Mumbai,Onion,Other,FAQ,18/06/2024,2300,3100,2700,23
Maharashtra,Mumbai,Vashi New Mumbai,Onion,Other,FAQ,08/05/2024,1500,2300,1900,23
Maharashtra,Mumbai,Vashi New Mumbai,Onion,Other,FAQ,13/05/2024,1300,1900,1600,23
Maharashtra,Mumbai,Vashi New Mumbai,Onion,Other,FAQ,17/05/2024,1400,2000,1700,23
Maharashtra,Mumbai,Vashi New Mumbai,Onion,Other,FAQ,17/01/2024,1500,2200,1850,23
Maharashtra,Mumbai,Vashi New Mumbai,Onion,Other,FAQ,18/01/2024,1500,2200,1850,23
Maharashtra,Mumbai,Vashi New Mumbai,Onion,Other,FAQ,22/01/2024,1500,2100,1800,23
Maharashtra,Mumbai,Vashi New Mumbai,Onion,Other,FAQ,24/01/2024,1500,2000,1750,23
Maharashtra,Mumbai,Vashi New Mumbai,Onion,Other,FAQ,30/01/2024,900,1500,1200,23
Maharashtra,Mumbai,Vashi New Mumbai,Onion,Other,FAQ,05/02/2024,1000,1700,1350,23
Maharashtra,Mumbai,Vashi New Mumbai,Onion,Other,FAQ,16/02/2024,1000,1600,1300,23
Maharashtra,Mumbai,Vashi New Mumbai,Onion,Other,FAQ,20/02/2024,1500,2200,1850,23
Maharashtra,Mumbai,Vashi New Mumbai,Onion,Other,FAQ,22/02/2024,1400,1900,1650,23
Maharashtra,Mumbai,Vashi New Mumbai,Onion,Other,FAQ,28/02/2024,1600,2200,1900,23
Maharashtra,Mumbai,Vashi New Mumbai,Onion,Other,FAQ,07/03/2024,1400,2000,1700,23
Maharashtra,Mumbai,Vashi New Mumbai,Onion,Other,FAQ,09/03/2024,1300,1800,1550,23
