State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Maharashtra,Mumbai,Mumbai,Tomato,Other,FAQ,04/07/2024,4000,4500,4200,78
Maharashtra,Mumbai,Mumbai,Tomato,Other,FAQ,08/07/2024,4000,4500,4200,78
Maharashtra,Mumbai,Mumbai,Tomato,Other,FAQ,10/07/2024,4500,5000,4700,78
Maharashtra,Mumbai,Mumbai,Tomato,Other,FAQ,11/07/2024,4500,5000,4700,78
Maharashtra,Mumbai,Mumbai,Tomato,Other,FAQ,18/07/2024,6000,7000,6500,78
Maharashtra,Mumbai,Mumbai,Tomato,Other,FAQ,24/07/2024,5000,6000,5500,78
Maharashtra,Mumbai,Mumbai,Tomato,Other,FAQ,31/07/2024,1500,3500,2500,78
Maharashtra,Mumbai,Mumbai,Tomato,Other,FAQ,12/08/2024,2400,3000,2700,78
Maharashtra,Mumbai,Mumbai,Tomato,Other,FAQ,16/08/2024,2000,2400,2200,78
Maharashtra,Mumbai,Mumbai,Tomato,Other,FAQ,21/08/2024,2000,2800,2400,78
Maharashtra,Mumbai,Mumbai,Tomato,Other,FAQ,24/08/2024,2000,2600,2300,78
Maharashtra,Mumbai,Mumbai,Tomato,Other,FAQ,27/08/2024,2000,2500,2300,78
Maharashtra,Mumbai,Mumbai,Tomato,Other,FAQ,29/08/2024,2400,3000,2700,78
Maharashtra,Mumbai,Mumbai,Tomato,Other,FAQ,03/05/2024,1400,1800,1600,78
Maharashtra,Mumbai,Mumbai,Tomato,Other,FAQ,06/05/2024,1200,1600,1400,78
Maharashtra,Mumbai,Mumbai,Tomato,Other,FAQ,09/05/2024,1200,1500,1300,78
Maharashtra,Mumbai,Mumbai,Tomato,Other,FAQ,13/05/2024,1200,1600,1400,78
Maharashtra,Mumbai,Mumbai,Tomato,Other,FAQ,15/05/2024,1000,1700,1400,78
Maharashtra,Mumbai,Mumbai,Tomato,Other,FAQ,28/05/2024,1500,2500,2000,78
Maharashtra,Mumbai,Mumbai,Tomato,Other,FAQ,02/01/2024,2000,2600,2300,78
Maharashtra,Mumbai,Mumbai,Tomato,Other,FAQ,09/01/2024,1800,2400,2100,78
Maharashtra,Mumbai,Mumbai,Tomato,Other,FAQ,22/01/2024,1800,2600,2200,78
Maharashtra,Mumbai,Mumbai,Tomato,Other,FAQ,07/02/2024,3000,3400,3200,78
Maharashtra,Mumbai,Mumbai,Tomato,Other,FAQ,08/02/2024,2200,2600,2400,78
Maharashtra,Mumbai,Mumbai,Tomato,Other,FAQ,23/02/2024,1000,2000,1500,78
Maharashtra,Mumbai,Mumbai,Tomato,Other,FAQ,29/02/2024,1600,2000,1800,78
Maharashtra,Mumbai,Mumbai,Tomato,Other,FAQ,05/03/2024,1200,1600,1400,78
Maharashtra,Mumbai,Mumbai,Tomato,Other,FAQ,13/03/2024,1400,1800,1600,78
Maharashtra,Mumbai,Mumbai,Tomato,Other,FAQ,14/03/2024,1600,2000,1800,78
Maharashtra,Mumbai,Mumbai,Tomato,Other,FAQ,22/03/2024,1200,1600,1400,78
Maharashtra,Mumbai,Mumbai,Tomato,Other,FAQ,30/03/2024,1700,2700,2200,78
Maharashtra,Mumbai,Mumbai,Tomato,Other,FAQ,02/04/2024,1000,1400,1200,78
Maharashtra,Mumbai,Mumbai,Tomato,Other,FAQ,26/04/2024,1200,1800,1500,78
