State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Maharashtra,Mumbai,Mumbai,Wheat,Other,FAQ,03/04/2024,2600,6500,4550,1
Maharashtra,Mumbai,Mumbai,Wheat,Other,FAQ,04/04/2024,2600,6500,4550,1
Maharashtra,Mumbai,Mumbai,Wheat,Other,FAQ,19/04/2024,2600,6500,4550,1
Maharashtra,Mumbai,Mumbai,Wheat,Other,FAQ,24/04/2024,2600,6500,4550,1
Maharashtra,Mumbai,Mumbai,Wheat,Other,FAQ,15/01/2025,2800,6000,4400,1
Maharashtra,Mumbai,Mumbai,Wheat,Other,FAQ,28/01/2025,3000,6000,4500,1
Maharashtra,Mumbai,Mumbai,Wheat,Other,FAQ,16/01/2025,2800,6000,4400,1
Maharashtra,Mumbai,Mumbai,Wheat,Other,FAQ,30/01/2025,3000,6000,4500,1
Maharashtra,Mumbai,Mumbai,Wheat,Other,FAQ,05/03/2025,3000,6000,4500,1
Maharashtra,Mumbai,Mumbai,Wheat,Other,FAQ,06/03/2025,3000,6000,4500,1
Maharashtra,Mumbai,Mumbai,Wheat,Other,FAQ,18/03/2025,3000,6000,4500,1
Maharashtra,Mumbai,Mumbai,Wheat,Other,FAQ,19/03/2025,3000,6000,4500,1
Maharashtra,Mumbai,Mumbai,Wheat,Other,FAQ,25/03/2025,3000,6000,4500,1
Maharashtra,Mumbai,Mumbai,Wheat,Other,FAQ,31/03/2025,3000,6000,4500,1
Maharashtra,Mumbai,Mumbai,Wheat,Other,FAQ,07/12/2024,2800,6000,4400,1
Maharashtra,Mumbai,Mumbai,Wheat,Other,FAQ,11/12/2024,2800,6000,4400,1
Maharashtra,Mumbai,Mumbai,Wheat,Other,FAQ,13/12/2024,2800,6000,4400,1
Maharashtra,Mumbai,Mumbai,Wheat,Other,FAQ,21/12/2024,2800,6000,4400,1
Maharashtra,Mumbai,Mumbai,Wheat,Other,FAQ,23/12/2024,2800,6000,4400,1
Maharashtra,Mumbai,Mumbai,Wheat,Other,FAQ,28/12/2024,2800,6000,4400,1
Maharashtra,Mumbai,Mumbai,Wheat,Other,FAQ,01/02/2025,3000,6000,4500,1
Maharashtra,Mumbai,Mumbai,Wheat,Other,FAQ,07/02/2025,3000,6000,4500,1
Maharashtra,Mumbai,Mumbai,Wheat,Other,FAQ,21/02/2025,3000,6000,4500,1
Maharashtra,Mumbai,Mumbai,Wheat,Other,FAQ,28/02/2025,3000,6000,4500,1
Maharashtra,Mumbai,Mumbai,Wheat,Other,FAQ,04/01/2023,2800,5800,4300,1
Maharashtra,Mumbai,Mumbai,Wheat,Other,FAQ,20/01/2023,2800,5800,4300,1
Maharashtra,Mumbai,Mumbai,Wheat,Other,FAQ,21/01/2023,2800,5800,4300,1
Maharashtra,Mumbai,Mumbai,Wheat,Other,FAQ,24/01/2023,2800,5800,4300,1
Maharashtra,Mumbai,Mumbai,Wheat,Other,FAQ,30/01/2023,2700,5600,4150,1
Maharashtra,Mumbai,Mumbai,Wheat,Other,FAQ,08/02/2023,2700,5600,4150,1
Maharashtra,Mumbai,Mumbai,Wheat,Other,FAQ,09/02/2023,2700,5600,4150,1
Maharashtra,Mumbai,Mumbai,Wheat,Other,FAQ,15/02/2023,2700,5600,4150,1
Maharashtra,Mumbai,Mumbai,Wheat,Other,FAQ,21/02/2023,2700,5600,4150,1
Maharashtra,Mumbai,Mumbai,Wheat,Other,FAQ,09/03/2023,2700,5600,4150,1
Maharashtra,Mumbai,Mumbai,Wheat,Other,FAQ,15/03/2023,2700,5600,4150,1
Maharashtra,Mumbai,Mumbai,Wheat,Other,FAQ,24/03/2023,2600,5000,3800,1
Maharashtra,Mumbai,Mumbai,Wheat,Other,FAQ,28/03/2023,2600,5000,3800,1
Maharashtra,Mumbai,Mumbai,Wheat,Other,FAQ,30/03/2023,2600,5000,3800,1
